Timestamp,I will use my new powers...,Sample Question 2,The course delivered its advertised curriculum.,This instructor communicated content clearly.,What could the instructor do better next time?,"In general, what would make this training better next time?",Unnamed: 7,How did you hear about this training?,"After this training, if my schedule allows, I would be interested in attending another D-Lab training.","What trainings, workshops, or working groups would you like to see the D-Lab offer?",Unnamed: 11,What kind of data are you working with / would you like to work with?,"What department, school, program, or organization at Berkeley are you associated with?",Unnamed: 14,What other services (besides training) could D-Lab help you with?,"What department, school, program, or organization at Berkeley are you associated with?.1","Any other information or comments you want to share? What training, working groups, or services would you like to see the D-Lab offer? What kind of data are you working with/would you like to work with? What is the greatest technical challenge to your research?",What was the most helpful part of the training for you?,What was the most disappointing part of this training for you?,"I left with new knowledge, skills, and/or resources that are useful for my research.",What is the greatest technical challenge to your research?,I will use my new skills and powers...,How did you hear about this training?.1,Instructor.1,Please indicate your gender.,Please describe your race/ethnicity. Check all that apply.   ,"People may experience barriers to learning or participating in data intensive social science because of their race/ethnicity, gender, social or economic background, or prior exposure. Have you experienced these kinds of barriers?",Have you experienced these barriers in the D-Lab?,"If yes, what factors contributed to these barriers?",What is your career stage or position?
2/24/2015 16:55:26,,,7,5,,,,Heard about it from a friend/colleague,7.0,,,,,,,Undergraduate student,,,,6,,,,,Male/Man,Not on the form,2.0,1.0,,
2/24/2015 16:53:38,,,4,5,,,,GIF Lab,5.0,,,,ESPM Department,,,Undergraduate student,,,,5,,,,,Female/Woman,Not on the form,1.0,1.0,,
2/24/2015 16:51:44,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,GEOG,,,"PhD student, dissertation stage",,,,5,,,,,Male/Man,Not on the form,1.0,1.0,,
2/24/2015 16:50:10,,,7,7,,,,Found it on the D-Lab website,7.0,,,,Music,,,"PhD student, dissertation stage","Great: U-RAP, openrefine.org, historical maps - all new images",,,6,,,,,Female/Woman,Not on the form,2.0,1.0,,
2/24/2015 16:47:11,,,7,7,,,,Found it on the D-Lab website,7.0,,,,Research IT,,,Administrative staff title,"This was a great overview of the process - segmenting the issues of data cleaning, georectifying, etc.",,,7,,,,,Female/Woman,Decline to state,3.0,1.0,,
2/24/2015 16:40:01,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,,,,,7,,,,,,Decline to state,,,,
2/23/2015 10:38:50,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,Decline to state,1.0,1.0,,
2/20/2015 13:05:13,,,6,6,,,,Professor,7.0,,,,School of Public Health,,,"PhD student, pre-dissertation",Unfortunately we had to breeze through the end of the content because so many people asked questions.  It would be great to offer to meet people offline if they are holding up the movement of the workshop.  Although I must say that Zawadi did a great job of answering everyone's questions.  Thanks!,,,7,,,,,Female/Woman,Latino/Chicano,1.0,1.0,,
2/20/2015 12:54:46,,,6,7,,,,Found it on the D-Lab website,6.0,,,,School of public health ,,,Masters student,,,,6,,,,,Male/Man,Asian American,4.0,2.0,,
2/20/2015 12:53:51,,,7,7,,,,Found it on the D-Lab website,7.0,,,,ESPM,,,"PhD student, pre-dissertation",,,,7,,,,,Female/Woman,White,1.0,1.0,,
2/20/2015 12:52:49,,,7,7,,,,Found it on the D-Lab website,7.0,,,,sociology ,,,"PhD student, pre-dissertation",,,,7,,,,,Female/Woman,Latino/Chicano,3.0,1.0,,
2/20/2015 12:51:35,,,7,6,,,,Heard about it from a friend/colleague,6.0,,,,U.S DEPT of social behavioral Sciences ,,,"PhD student, pre-dissertation",,,,6,,,,,,Latino/Chicano,2.0,1.0,,
2/20/2015 12:29:38,,,7,6,,,,Email from the D-Lab mailing list,7.0,,,,Public Health,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,African American/Black,1.0,1.0,,
2/19/2015 13:24:30,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,School of Social Welfare,,,"PhD student, dissertation stage","D-Lab is one of the best services I have experienced on campus.  It is such a huge help that I cannot overestimate its contribution to student research.
I wish I had more time to take more courses!",,,7,,,,,Female/Woman,White,2.0,1.0,,
2/18/2015 19:00:45,,,4,4,,,,Email from the D-Lab mailing list,7.0,,,,Anthropology,,,"PhD student, dissertation stage","I was unable to stay for the entirety of the workshop due to a headache.  (Thus, my answers above should be interpreted as ""N/A"").  I just chose ""4"" since the form requires that I pick a value. I would really appreciate it if I could get a copy of the slides from today's presentation as I am genuinely interested in the topic.
Thank you in advance for your attention to this matter!
~Rosalynn  Vega   (rosalynn@berkeley.edu)",,,4,,,,,Female/Woman,"Asian American, Latino/Chicano, Native American/Alaskan Native",,,,
2/17/2015 11:41:29,,,7,7,,,,Found it on the D-Lab website,7.0,,,,IEAS,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,International,1.0,1.0,,
2/17/2015 11:39:37,,,6,7,,,,Found it on the D-Lab website,6.0,,,,,,,Visiting fellow or researcher,Good lecture and organized materials ,,,6,,,,,Female/Woman,International,2.0,1.0,Learning materials,
2/17/2015 11:38:17,,,6,7,,,,Heard about it from a friend/colleague,6.0,,,,,,,,,,,7,,,,,,n/a,,,,
2/17/2015 11:37:29,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,ERG- GSPP,,,Masters student,,,,7,,,,,Female/Woman,White,,,,
2/17/2015 11:36:19,,,7,6,,,,Email from the D-Lab mailing list,7.0,,,,CSTV,,,Visiting fellow or researcher,,,,5,,,,,Male/Man,White,1.0,1.0,,
2/17/2015 11:34:09,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,n/a,,,n/a,n/a,,,5,,,,,n/a,n/a,1.0,1.0,n/a,
2/17/2015 11:33:03,,,7,7,,,,Liora,7.0,,,,SPH ,,,"PhD student, dissertation stage",I liked the mix of lectures and problems. ,,,7,,,,,Male/Man,White,1.0,1.0,,
2/17/2015 10:04:35,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,I School,,,Masters student,,,,7,,,,,Male/Man,White,1.0,1.0,,
2/17/2015 10:03:48,,,7,7,,,,Heard about it from a friend/colleague,,,,,,,,,,,,7,,,,,Male/Man,,1.0,1.0,,
2/17/2015 10:03:05,,,5,7,,,,Found it on the D-Lab website,6.0,,,,Anthropology,,,"PhD student, dissertation stage",,,,5,,,,,Male/Man,White,1.0,1.0,,
2/17/2015 10:01:44,,,7,7,,,,Heard about it from a friend/colleague,,,,,Goldman School,,,Masters student,,,,6,,,,,Female/Woman,,1.0,1.0,,
2/17/2015 9:50:15,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Jurisprudence + Social Policy,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,,1.0,1.0,,
2/16/2015 13:22:52,,,6,6,,,,Email from the D-Lab mailing list,6.0,,,,ISEEES,,,"PhD student, dissertation stage",,,,6,,,,,Female/Woman,White,1.0,1.0,,
2/13/2015 20:00:43,,,6,7,,,,Heard about it from a friend/colleague,7.0,,,,Goldman School of Public Policy,,,Masters student,,,,6,,,,,Female/Woman,White,1.0,1.0,,
2/13/2015 16:49:16,,,7,6,,,,Found it on the D-Lab website,7.0,,,,Political Science ,,,Undergraduate student,More R trainings ,,,6,,,,,Female/Woman,Asian American,4.0,1.0,,
2/13/2015 16:48:14,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,IEOR M. ENG,,,Masters student,,,,7,,,,,Female/Woman,International,2.0,1.0,,
2/13/2015 16:47:21,,,7,7,,,,Email from another mailing list,7.0,,,,Haas Business ,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,International,3.0,3.0,Learning materials,
2/13/2015 16:47:00,,,6,6,,,,Email from another mailing list,7.0,,,,Haas Finance PhD,,,"PhD student, pre-dissertation",,,,6,,,,,Male/Man,International,1.0,1.0,,
2/13/2015 16:45:45,,,6,5,,,,Email from another mailing list,6.0,,,,MPH,,,Masters student,Python Again!,,,6,,,,,Female/Woman,Asian American,2.0,2.0,,
2/13/2015 16:45:34,,,7,6,,,,Linked from another website,7.0,,,,,,,"PhD student, pre-dissertation",,,,6,,,,,Male/Man,"International, White",1.0,1.0,,
2/13/2015 16:43:59,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,SPH,,,Masters student,,,,7,,,,,Female/Woman,White,4.0,1.0,,
2/13/2015 16:43:45,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Public Health ,,,Masters student,Very Helpful - Thanks! ,,,7,,,,,Female/Woman,White,3.0,1.0,,
2/13/2015 16:42:03,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,"PhD student, dissertation stage",very thorough and helpful !,,,7,,,,,Female/Woman,Asian American,1.0,1.0,,
2/13/2015 16:40:33,,,5,5,,,,Heard about it from a friend/colleague,7.0,,,,SPH Mpm program,,,Masters student,I appreciate the training ,,,6,,,,,Male/Man,African American/Black,5.0,1.0,,
2/13/2015 16:40:18,,,7,7,,,,Email from another mailing list,7.0,,,,,,,"PhD student, dissertation stage",More Stata classes along these lines. Thanks!!!,,,7,,,,,Female/Woman,Asian American,1.0,1.0,,
2/13/2015 16:39:06,,,6,6,,,,Heard about it from a friend/colleague,5.0,,,,"School of Public Healht, Epideomiology and Biostatistics",,,Masters student,,,,7,,,,,Male/Man,African American/Black,2.0,1.0,,
2/13/2015 16:38:02,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Economics ,,,Undergraduate student,,,,6,,,,,Female/Woman,International,3.0,1.0,,
2/13/2015 16:36:45,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,DCRP,,,Masters student,Transportation data. People's mode choice. Travel Behavior. ,,,4,,,,,Female/Woman,International,2.0,2.0,,
2/13/2015 16:35:55,,,6,5,,,,Email from the D-Lab mailing list,6.0,,,,Social Welfare ,,,"PhD student, pre-dissertation",,,,6,,,,,Female/Woman,Asian American,1.0,1.0,,
2/13/2015 16:32:20,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,"Education, Masters and Credential in Science and Math Edu.",,,Masters student,Greatest technical challenge is general statistics knowledge. ,,,7,,,,,Female/Woman,White,3.0,1.0,,
2/13/2015 16:30:13,,,7,7,,,,Email from another mailing list,7.0,,,,Public Health,,,"PhD student, pre-dissertation","Liana was awesome, way clear and well communicated ",,,7,,,,,Male/Man,White,1.0,1.0,,
2/13/2015 8:36:51,,,3,5,,,,DH@Berkeley,,,,,Library,,,Library staff with PhD,"I suppose that it was useful to learn that though Ted Underwood's research sounds interesting, it's riddled with insufficiently examined assumptions, idiosyncratic tool use that precludes attempts to reproduce or build upon his analyses, and a flawed data set.",,,2,,,,,Female/Woman,"Asian American, White",4.0,3.0,,
2/13/2015 6:40:40,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Research IT,,,Academic staff title,,,,7,,,,,Female/Woman,White,1.0,1.0,,
2/12/2015 20:51:15,,,5,6,,,,Heard about it from a friend/colleague,7.0,,,,history,,,"PhD student, pre-dissertation",,,,6,,,,,Female/Woman,Asian American,4.0,3.0,Learning materials,
2/12/2015 18:10:37,,,6,7,,,,Email from the D-Lab mailing list,7.0,,,,Law,,,Academic staff title,,,,6,,,,,Male/Man,White,1.0,1.0,,
2/12/2015 18:08:55,,,5,7,,,,Email from the D-Lab mailing list,7.0,,,,Law,,,Academic staff title,"All in all, a good presentation and discussion. Re: the ""barriers"" questions above, I assume ""prior exposure"" has to do with one's own comfort level with the field. If so, then I can imagine a lot of humanists with cursory exposure to statistical and social science methods feeling like they confront a barrier, albeit not one enforced by any of the factors you list. ",,,5,,,,,Male/Man,White,1.0,1.0,,
2/12/2015 16:40:32,,,7,5,,,,Email from another mailing list,6.0,,,,DCRP,,,Masters student,,,,7,,,,,Female/Woman,White,2.0,1.0,,
2/12/2015 13:37:51,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,History,,,"PhD student, pre-dissertation",,,,5,,,,,Male/Man,,1.0,1.0,,
2/12/2015 13:36:59,,,6,6,,,,Email from the D-Lab mailing list,6.0,,,,ISCEES/Visiting Scholar,,,,,,,6,,,,,,,,,,
2/12/2015 13:36:02,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,English,,,"PhD student, pre-dissertation",,,,5,,,,,Female/Woman,White,1.0,1.0,,
2/12/2015 13:35:03,,,4,3,,,,email from home department,4.0,,,,South and Southeast Asian Studies,,,"PhD student, pre-dissertation",,,,4,,,,,Male/Man,International,4.0,4.0,Learning materials,
2/12/2015 13:33:27,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,English,,,Visiting fellow or researcher,Great talk!,,,7,,,,,Male/Man,White,1.0,1.0,,
2/12/2015 13:32:32,,,7,7,,,,Email from the D-Lab mailing list,5.0,,,,CMSTS,,,,,,,6,,,,,,,,,,
2/12/2015 13:31:44,,,6,6,,,,Found it on the D-Lab website,6.0,,,,Linguistics,,,,,,,5,,,,,,,,,,
2/12/2015 9:36:35,,,6,5,,,,Heard about it from a friend/colleague,2.0,,,,Education,,,Masters student,,,,5,,,,,Female/Woman,Asian American,2.0,1.0,,
2/11/2015 16:28:41,,,6,5,,,,Email from the D-Lab mailing list,6.0,,,,City and Regional Planning ,,,Masters student,,,,6,,,,,Female/Woman,White,1.0,1.0,,
2/11/2015 16:28:37,,,6,5,,,,Email from the D-Lab mailing list,6.0,,,,City and Regional Planning ,,,Masters student,,,,6,,,,,Female/Woman,White,1.0,1.0,,
2/11/2015 16:27:05,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Sociology ,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,White,1.0,1.0,,
2/11/2015 16:25:32,,,7,7,,,,friends ,7.0,,,,,,,"Institute of East Asian Studies, Visiting Scholar ",,,,7,,,,,Female/Woman,International,,,,
2/11/2015 16:23:32,,,5,5,,,,Email from the D-Lab mailing list,7.0,,,,,,,Visiting fellow or researcher,,,,7,,,,,Male/Man,White,1.0,1.0,,
2/11/2015 16:21:25,,,7,6,,,,Found it on the D-Lab website,6.0,,,,Institutional Research ,,,Administrative staff title,,,,6,,,,,Female/Woman,International,,,,
2/11/2015 16:21:23,,,7,6,,,,Found it on the D-Lab website,6.0,,,,Institutional Research ,,,Administrative staff title,,,,6,,,,,Female/Woman,International,,,,
2/11/2015 16:19:39,,,7,7,,,,Found it on the D-Lab website,7.0,,,,,,,"PhD student, dissertation stage",,,,6,,,,,Female/Woman,Asian American,1.0,1.0,,
2/10/2015 14:46:07,,,6,5,,,,Email from the D-Lab mailing list,7.0,,,,,,,"PhD student, dissertation stage",,,,3,,,,,Female/Woman,White,,1.0,,
2/10/2015 9:46:42,,,3,5,,,,Found it on the D-Lab website,2.0,,,,Public Policy,,,"PhD student, dissertation stage",,,,1,,,,,Male/Man,White,1.0,1.0,,
2/9/2015 17:05:26,,,5,7,,,,Email from the D-Lab mailing list,6.0,,,,Psychology,,,"PhD student, dissertation stage",It may save a lot time to focus on the prepared materials by not having some attendant bossing about her own study.,,,7,,,,,Female/Woman,International,3.0,2.0,,
2/9/2015 17:03:18,,,6,6,,,,Email from the D-Lab mailing list,7.0,,,,Library,,,,,,,6,,,,,Female/Woman,White,4.0,1.0,,
2/9/2015 17:02:07,,,5,6,,,,Email from another mailing list,6.0,,,,"School of Public Health, MPH Student",,,Masters student,,,,1,,,,,Female/Woman,"Asian American, White",3.0,1.0,Instructors,
2/9/2015 16:57:59,,,6,6,,,,Found it on the D-Lab website,6.0,,,,,,,Masters student,,,,5,,,,,Female/Woman,Decline to state,5.0,2.0,Learning materials,
2/9/2015 16:56:28,,,6,6,,,,Email from the D-Lab mailing list,7.0,,,,CSHE,,,Visiting fellow or researcher,,,,5,,,,,Male/Man,White,1.0,1.0,,
2/9/2015 16:54:51,,,6,5,,,,Found it on the D-Lab website,7.0,,,,,,,professional scientist,"Python, survey analytics",,,6,,,,,Female/Woman,Decline to state,4.0,1.0,,
2/9/2015 16:52:51,,,5,5,,,,Email from the D-Lab mailing list,7.0,,,,GSE,,,"PhD student, dissertation stage","Maybe a lab on survey data analysis would be nice! Also, software analytics workshop.",,,4,,,,,Female/Woman,Asian American,1.0,1.0,,
2/7/2015 11:00:32,,,7,7,,,,Email from another mailing list,7.0,,,,Energy and Resources Group,,,"PhD student, pre-dissertation",,,,7,,,,,Female/Woman,International,1.0,1.0,,
2/6/2015 16:13:48,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Political economy,,,Undergraduate student,,,,7,,,,,Female/Woman,International,2.0,2.0,,
2/6/2015 15:39:25,,,6,5,,,,Email from the D-Lab mailing list,7.0,,,,Econmics,,,"PhD student, dissertation stage","maybe give a macro view of how R uses processes inputs, not just how to use it but how R works generally and the building blocks e.g. how the syntax works in R. ",,,6,,,,,Female/Woman,n/a,1.0,1.0,,
2/6/2015 15:37:18,,,7,7,,,,Email from another mailing list,7.0,,,,City and Regional Planning,,,Masters student,Very useful workshops. Clara was very clear and I really appreciate the material and preparation of the lab!,,,7,,,,,Male/Man,International,1.0,1.0,,
2/6/2015 15:36:40,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,Linguistics,,,,,,,6,,,,,nla,n/a,,,,
2/6/2015 15:34:26,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Master of Public Policy,,,Masters student,"- offer how to use software for visual representation of data
- GIS training",,,7,,,,,Female/Woman,Latino/Chicano,1.0,1.0,,
2/6/2015 15:33:47,,,7,7,,,,Email from another mailing list,7.0,,,,Energy and Resources group ,,,"PhD student, pre-dissertation",,,,7,,,,,Female/Woman,International,1.0,1.0,,
2/6/2015 15:32:16,,,7,7,,,,Found it on the D-Lab website,7.0,,,,Statistics,,,Undergraduate student,,,,7,,,,,Female/Woman,Asian American,1.0,1.0,,
2/6/2015 15:30:33,,,7,6,,,,Found it on the D-Lab website,7.0,,,,Berkeley Law,,,Administrative staff title,"Python, D3.js",,,6,,,,,Female/Woman,White,5.0,1.0,,
2/6/2015 15:29:11,,,6,6,,,,Found it on the D-Lab website,6.0,,,,Goldman School,,,Masters student,,,,6,,,,,Female/Woman,International,1.0,1.0,,
2/6/2015 15:27:52,,,7,6,,,,Email from the D-Lab mailing list,7.0,,,,Anthropology,,,"PhD student, dissertation stage",,,,6,,,,,Female/Woman,White,,,,
2/6/2015 15:27:13,,,6,6,,,,Email from the D-Lab mailing list,6.0,,,,Education ,,,"PhD student, dissertation stage",big data set. Show how to create research questions with big data and analyze it. ,,,6,,,,,Female/Woman,International,4.0,3.0,,
2/6/2015 15:25:49,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Linguistic Department ,,,Visiting fellow or researcher,I'm grateful for such kind of training for R-beginners ,,,7,,,,,Female/Woman,International,3.0,1.0,Learning materials,
2/6/2015 15:23:31,,,5,5,,,,Found it on the D-Lab website,5.0,,,,"City Regional Planning, CED",,,Masters student,,,,3,,,,,Female/Woman,White,1.0,1.0,,
2/6/2015 15:20:38,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Linguisitcs,,,Visiting fellow or researcher,"a lot of thanks to your team for offering this training to people, free of charge.",,,7,,,,,Female/Woman,International,2.0,1.0,Learning materials,
2/6/2015 14:06:23,,,5,6,,,,Heard about it from a friend/colleague,7.0,,,,School of Ed.,,,,,,,3,,,,,,Decline to state,,,,
2/6/2015 14:01:53,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Sociology,,,,,,,6,,,,,,Decline to state,,,,
2/6/2015 14:00:43,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,M. Eng IEOR,,,Masters student,,,,7,,,,,Female/Woman,International,4.0,2.0,,
2/6/2015 13:58:51,,,6,6,,,,Found it on the D-Lab website,6.0,,,,Psychology,,,"PhD student, dissertation stage",,,,5,,,,,Female/Woman,International,3.0,2.0,,
2/6/2015 13:56:53,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,School of Public Health,,,"PhD student, pre-dissertation",,,,7,,,,,Female/Woman,Latino/Chicano,1.0,1.0,,
2/6/2015 13:55:21,,,6,7,,,,Found it on the D-Lab website,7.0,,,,Public Health,,,Masters student,,,,6,,,,,Female/Woman,White,1.0,1.0,,
2/6/2015 13:53:26,,,1,1,,,,Email from the D-Lab mailing list,1.0,,,,Social Policy - Law School,,,"PhD student, dissertation stage","Really clear presentation - especially examples made the process move, vivid. Thank you Zwadi!",,,1,,,,,Female/Woman,Decline to state,1.0,1.0,,
2/6/2015 12:16:48,,,7,5,,,,Heard about it from a friend/colleague,7.0,,,,School of public health ,,,"PhD student, dissertation stage",Great Session! ,,,6,,,,,Female/Woman,White,2.0,1.0,,
2/6/2015 12:15:31,,,5,7,,,,Email from the D-Lab mailing list,6.0,,,,"Epidemiology, Biostatistics, MPH",,,Masters student,"There should be a qual. data analysis training for those of us with no prior exposure, where we have a change to work on a short qual. data coding project with the instructor. Needs to be more basic level (e.g. what is qual. data coding?)",,,5,,,,,Female/Woman,Decline to state,4.0,4.0,Learning materials,
2/6/2015 12:13:07,,,5,7,,,,Email from another mailing list,5.0,,,,LAEP,,,,,,,4,,,,,n/a,n/a,,,,
2/6/2015 12:11:43,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,sociology UC Davis,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,White,1.0,1.0,,
2/6/2015 12:09:58,,,5,4,,,,Found it on the D-Lab website,6.0,,,,,,,Masters student,Would be helpful to walk through the process of creating code dictionary from some example documents,,,4,,,,,Female/Woman,White,2.0,1.0,,
2/2/2015 13:08:25,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Administrative staff title,D-Lab Shill,,,7,,,,,Female/Woman,White,1.0,1.0,,
2/1/2015 9:15:50,,,6,7,,,,Found it on the D-Lab website,7.0,,,,public health,,,Masters student,,,,5,,,,,,Decline to state,1.0,1.0,,
1/30/2015 21:35:36,,,6,6,,,,Found it on the D-Lab website,7.0,,,,institute of east asian studies,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,International,1.0,1.0,,
1/30/2015 16:30:40,,,6,6,,,,Found it on the D-Lab website,6.0,,,,social welfare,,,Postdoctoral researcher,"Clara was GREAT, I will attend every workshop of hers in the future if I have the time. Thank you  ;)",,,6,,,,,Female/Woman,Decline to state,5.0,2.0,language issues,
1/30/2015 15:26:23,,,7,7,,,,Professor,6.0,,,,Sociology 7 student,,,Undergraduate student,,,,6,,,,,Female/Woman,Asian American,4.0,1.0,,
1/30/2015 15:24:09,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,GSPP,,,"PhD student, pre-dissertation",Great Instruction for this workshop,,,6,,,,,Female/Woman,White,3.0,2.0,,
1/30/2015 15:23:52,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Department of Linguistics,,,Visiting fellow or researcher,,,,7,,,,,Female/Woman,International,1.0,2.0,Instructors,
1/30/2015 15:22:49,,,7,6,,,,Email from the D-Lab mailing list,7.0,,,,DCRP,,,Masters student,Photoshop/ In Design ,,,5,,,,,Female/Woman,International,2.0,1.0,,
1/30/2015 15:21:52,,,7,6,,,,Professor,7.0,,,,Interdisciplinary Studies,,,Undergraduate student,,,,5,,,,,Male/Man,Asian American,1.0,1.0,,
1/30/2015 15:21:35,,,6,7,,,,professor,7.0,,,,EEP,,,Undergraduate student,,,,4,,,,,Male/Man,"Asian American, White",1.0,1.0,,
1/30/2015 15:20:15,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,GSPP,,,Masters student,"Stata, SAS/SPSS",,,7,,,,,Male/Man,Asian American,1.0,1.0,,
1/30/2015 15:19:59,,,5,5,,,,Email from the D-Lab mailing list,5.0,,,,ISF 190 Thesis Course,,,Undergraduate student,maybe it should be 2 lectures. one on R and one with application to data (whole process),,,5,,,,,Female/Woman,Latino/Chicano,5.0,1.0,,
1/30/2015 15:19:16,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,CNR,,,Undergraduate student,,,,6,,,,,Female/Woman,White,3.0,1.0,,
1/30/2015 15:18:30,,,7,6,,,,Found it on the D-Lab website,7.0,,,,sociology ,,,Undergraduate student,This was great. The instructor was very clear and pleasant. ,,,7,,,,,Female/Woman,Latino/Chicano,2.0,1.0,,
1/30/2015 15:17:31,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,NST,,,"PhD student, pre-dissertation",,,,7,,,,,Female/Woman,International,1.0,1.0,,
1/30/2015 15:16:49,,,5,5,,,,Heard about it from a friend/colleague,6.0,,,,"Econmics, Besap program (exchange student from Yonsei university) ",,,Undergraduate student,,,,5,,,,,Female/Woman,International,1.0,1.0,,
1/30/2015 15:16:12,,,5,7,,,,Heard about it from a friend/colleague,7.0,,,,Econ,,,Undergraduate student,,,,5,,,,,Female/Woman,International,2.0,1.0,,
1/30/2015 15:15:30,,,7,7,,,,Email from another mailing list,7.0,,,,UC Extension- BESAP ,,,Undergraduate student,,,,7,,,,,Female/Woman,International,1.0,1.0,,
1/30/2015 15:14:33,,,7,7,,,,Found it on the D-Lab website,7.0,,,,GSPP,,,,,,,7,,,,,,Decline to state,,,,
1/30/2015 15:13:28,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,Economics (UC Extension-BESAP),,,Undergraduate student,,,,6,,,,,Female/Woman,International,2.0,1.0,language problem ,
1/30/2015 15:13:01,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,"CEGA, Economics",,,Administrative staff title,,,,7,,,,,Female/Woman,Decline to state,1.0,1.0,,
1/30/2015 15:11:27,,,7,6,,,,Found it on the D-Lab website,7.0,,,,"ESPM, PhD program",,,"PhD student, pre-dissertation","I think you guys are the only ones on campus offering education in R, without taking a whole class. Thank you! ",,,5,,,,,Male/Man,White,1.0,1.0,,
1/30/2015 14:58:59,,,6,5,,,,Found it on the D-Lab website,7.0,,,,Sociology,,,,,,,6,,,,,,Decline to state,,,,
1/30/2015 14:57:56,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,ISF,,,,,,,7,,,,,,Decline to state,,,,
1/30/2015 12:15:40,,,5,5,,,,Heard about it from a friend/colleague,5.0,,,,EPSM,,,Postdoctoral researcher,,,,5,,,,,Female/Woman,White,3.0,1.0,,
1/30/2015 12:14:41,,,6,6,,,,Email from the D-Lab mailing list,6.0,,,,Dept. of Statistics,,,,,,,5,,,,,,,,,,
1/30/2015 12:14:00,,,6,6,,,,Heard about it from a friend/colleague,6.0,,,,IB/ESPM,,,,,,,5,,,,,,,,,,
1/30/2015 12:12:30,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,City Planning PhD Student,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,White,,,,
1/30/2015 12:10:39,,,7,5,,,,Email from the D-Lab mailing list,7.0,,,,Initiative for Global Change Biology,,,Postdoctoral researcher,,,,6,,,,,Male/Man,White,1.0,1.0,,
1/30/2015 12:08:08,,,7,7,,,,Heard about it from a friend/colleague,,,,,ARE,,,"PhD student, dissertation stage",,,,7,,,,,Male/Man,White,1.0,1.0,,
1/30/2015 12:06:42,,,6,7,,,,Email from the D-Lab mailing list,,,,,CNR,,,Administrative staff title,,,,6,,,,,Female/Woman,White,1.0,1.0,,
1/30/2015 12:03:56,,,6,6,,,,Email from the D-Lab mailing list,7.0,,,,ESPM,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,Latino/Chicano,3.0,1.0,,
1/29/2015 19:25:12,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,SPH,,,Masters student,,,,7,,,,,Female/Woman,White,2.0,1.0,,
1/28/2015 13:53:58,,,7,7,,,,Email from another mailing list,7.0,,,,Haas Finance,,,"PhD student, dissertation stage",,,,7,,,,,Male/Man,White,1.0,1.0,,
1/28/2015 11:31:31,,,6,7,,,,Found it on the D-Lab website,7.0,,,,D-Lab,,,Administrative staff title,,,,6,,,,,Female/Woman,White,1.0,1.0,,
